name,description
Duchenne muscular dystrophy,"Duchenne muscular dystrophy (DMD) is a severe type of muscular dystrophy predominantly affecting boys. The onset of muscle weakness typically begins around age four, with rapid progression. Initially, muscle loss occurs in the thighs and pelvis, extending to the arms, which can lead to difficulties in standing up."
Leigh syndrome,"Leigh syndrome (also called Leigh disease and subacute necrotizing encephalomyelopathy) is an inherited neurometabolic disorder that affects the central nervous system. It is named after Archibald Denis Leigh, a British neuropsychiatrist who first described the condition in 1951. Normal levels of thiamine, thiamine monophosphate, and thiamine diphosphate are commonly found, but there is a reduced or absent level of thiamine triphosphate."
Menkes disease,"Menkes disease (MNK), also known as Menkes syndrome, is an X-linked recessive disorder caused by mutations in genes coding for the copper-transport protein ATP7A, leading to copper deficiency. Characteristic findings include kinky hair, growth failure, and nervous system deterioration. Like all X-linked recessive conditions, Menkes disease is more common in males than in females."
Metachromatic leukodystrophy,"Metachromatic leukodystrophy (MLD) is a lysosomal storage disease which is commonly listed in the family of leukodystrophies as well as among the sphingolipidoses as it affects the metabolism of sphingolipids. Leukodystrophies affect the growth and/or development of myelin, the fatty covering that acts as an insulator around nerve fibers throughout the central and peripheral nervous systems. MLD involves cerebroside sulfate accumulation."
Mitochondrial myopathy,"Mitochondrial myopathies are types of myopathies associated with mitochondrial disease. Adenosine triphosphate (ATP), the chemical used to provide energy for the cell, cannot be produced sufficiently by oxidative phosphorylation when the mitochondrion is either damaged or missing necessary enzymes or transport proteins. With ATP production deficient in mitochondria, there is an over-reliance on anaerobic glycolysis which leads to lactic acidosis either at rest or exercise-induced."
Phenylketonuria,"Phenylketonuria (PKU) is an inborn error of metabolism that results in decreased metabolism of the amino acid phenylalanine. Untreated PKU can lead to intellectual disability, seizures, behavioral problems, and mental disorders. It may also result in a musty smell and lighter skin."
Prader–Willi syndrome,"Prader–Willi syndrome (PWS)  is a rare genetic disorder caused by a loss of function of specific genes on chromosome 15. In newborns, symptoms include weak muscles, poor feeding, and slow development. Beginning in childhood, those affected become constantly hungry, which often leads to obesity and type 2 diabetes."
Sanfilippo syndrome,"Sanfilippo syndrome, also known as mucopolysaccharidosis type III (MPS III), is a rare lifelong genetic disease that mainly affects the brain and spinal cord. It is caused by a problem with how the body breaks down certain large sugar molecules called glycosaminoglycans (also known as GAGs or mucopolysaccharides). In children with this condition, these sugar molecules build up in the body and eventually lead to damage of the central nervous system and other organ systems."
Smith–Lemli–Opitz syndrome,"Smith–Lemli–Opitz syndrome is an inborn error of cholesterol synthesis. It is an autosomal recessive, multiple malformation syndrome caused by a mutation in the enzyme 7-Dehydrocholesterol reductase encoded by the DHCR7 gene. It causes a broad spectrum of effects, ranging from mild intellectual disability and behavioural problems to lethal malformations."
Wolfram syndrome,"Wolfram syndrome, also called DIDMOAD (diabetes insipidus, diabetes mellitus, optic atrophy, and deafness), is a rare autosomal-recessive genetic disorder that causes childhood-onset diabetes mellitus, optic atrophy, and deafness as well as various other possible disorders including neurodegeneration. Symptoms can start to appear as early as childhood to adult years (2–65 years old). There is a 25% recurrence risk in children."
Zellweger syndrome,"Zellweger syndrome is a rare congenital disorder characterized by the reduction or absence of functional peroxisomes in the cells of an individual. It is one of a family of disorders called Zellweger spectrum disorders which are leukodystrophies. Zellweger syndrome is named after Hans Zellweger (1909–1990), a Swiss-American pediatrician, a professor of pediatrics and genetics at the University of Iowa who researched this disorder."
Hunter syndrome,"Hunter syndrome, or mucopolysaccharidosis type II (MPS II), is a rare inherited lysosomal storage disease in which large sugar molecules called glycosaminoglycans (or GAGs or mucopolysaccharides) build up in body tissues. Hunter syndrome is caused by a deficiency of the lysosomal enzyme iduronate-2-sulfatase (I2S). The lack of this enzyme causes heparan sulfate and dermatan sulfate to accumulate in all body tissues."
Hurler syndrome,"Hurler syndrome, also known as mucopolysaccharidosis Type IH (MPS-IH), Hurler's disease, and formerly gargoylism, is a genetic disorder that results in the buildup of large sugar molecules called glycosaminoglycans (GAGs) in lysosomes. The inability to break down these molecules results in a wide variety of symptoms caused by damage to several different organ systems, including but not limited to the nervous system, skeletal system, eyes, and heart.
The underlying mechanism is a deficiency of alpha-L iduronidase, an enzyme responsible for breaking down GAGs.: 544  Without this enzyme, a buildup of dermatan sulfate and heparan sulfate occurs in the body."
Joubert syndrome,"Joubert syndrome is a rare autosomal recessive genetic disorder that affects the cerebellum, an area of the brain that controls balance and coordination.
Joubert syndrome is one of the many genetic syndromes associated with syndromic retinitis pigmentosa. The syndrome was first identified in 1969 by pediatric neurologist Marie Joubert in Montreal, Quebec, Canada, while working at the Montreal Neurological Institute and McGill University."
Kabuki syndrome,"Kabuki syndrome (previously known as Kabuki-makeup syndrome (KMS) or Niikawa–Kuroki syndrome) is a rare congenital disorder of genetic origin. It affects multiple parts of the body, with varying symptoms and severity, although the most common is the characteristic facial appearance.
Kabuki syndrome (KS) affects roughly one in 32,000 births."
Lesch–Nyhan syndrome,"Lesch–Nyhan syndrome (LNS) is a rare inherited disorder caused by a deficiency of the enzyme hypoxanthine-guanine phosphoribosyltransferase (HGPRT). This deficiency occurs due to mutations in the HPRT1 gene located on the X chromosome. LNS affects about 1 in 380,000 live births."
Meckel–Gruber syndrome,"Meckel-Gruber syndrome is a rare, lethal ciliopathic genetic disorder, characterized by renal cystic dysplasia, central nervous system malformations (occipital encephalocele), polydactyly (postaxial), hepatic developmental defects, and pulmonary hypoplasia due to oligohydramnios. Meckel–Gruber syndrome is named for Johann Meckel and Georg Gruber. The prognosis for infants born with Meckel-Gruber syndrome is poor, most being stillborn or dying within hours to days."
Norrie disease,"Norrie disease is a rare X-linked recessive genetic disorder that primarily affects the eyes and almost always leads to blindness. It is caused by mutations in the Norrin cystine knot growth factor gene, also referred to as Norrie Disease Pseudoglioma (NDP) gene. 
Norrie disease manifests with vision impairment either at birth, or within a few weeks of life, following an ocular event like retinal detachment and is progressive through childhood and adolescence."
Ohtahara syndrome,"Ohtahara syndrome (OS), also known as Early Infantile Developmental & Epileptic Encephalopathy (EIDEE) is a progressive epileptic encephalopathy. The syndrome is outwardly characterized by tonic spasms and partial seizures within the first few months of life, and receives its more elaborate name from the pattern of burst activity on an electroencephalogram (EEG).  It is an extremely debilitating progressive neurological disorder, involving intractable seizures and severe intellectual disabilities."
Pelizaeus–Merzbacher disease,"Pelizaeus–Merzbacher disease is an X-linked neurological disorder that damages oligodendrocytes in the central nervous system. It is caused by mutations in proteolipid protein 1 (PLP1), a major myelin protein. It is characterized by a decrease in the amount of insulating myelin surrounding the nerves (hypomyelination) and belongs to a group of genetic diseases referred to as leukodystrophies."
Refsum disease,"Refsum disease is an autosomal recessive neurological disease that results in the over-accumulation of phytanic acid in cells and tissues. It is one of several disorders named after Norwegian neurologist Sigvald Bernhard Refsum (1907–1991). Refsum disease typically begins to show symptoms during adolescence, although symptoms may first appear anywhere between infancy and old age."
Sandhoff disease,"Sandhoff disease is a lysosomal genetic, lipid storage disorder caused by the inherited deficiency to create functional beta-hexosaminidases A and B. These catabolic enzymes are needed to degrade the neuronal membrane components, ganglioside GM2, its derivative GA2, the glycolipid globoside in visceral tissues, and some oligosaccharides. Accumulation of these metabolites leads to a progressive destruction of the central nervous system and eventually to death. The rare autosomal recessive neurodegenerative disorder is clinically almost indistinguishable from Tay–Sachs disease, another genetic disorder that disrupts beta-hexosaminidases A and S. There are three subsets of Sandhoff disease based on when first symptoms appear: classic infantile, juvenile and adult late onset."
Shwachman–Diamond syndrome,"Shwachman–Diamond syndrome (SDS), or Shwachman–Bodian–Diamond syndrome, is a rare congenital disorder characterized by exocrine pancreatic insufficiency, bone marrow dysfunction, skeletal and cardiac abnormalities and short stature. After cystic fibrosis (CF), it is the second most common cause of exocrine pancreatic insufficiency in children. It is associated with the SBDS gene and has autosomal recessive inheritance."
Sotos syndrome,"Sotos syndrome is a rare genetic disorder characterized by excessive physical growth during the first years of life. Excessive growth often starts in infancy and continues into the early teen years. The disorder may be accompanied by autism, mild intellectual disability, delayed motor, cognitive, and social development, hypotonia (low muscle tone), and speech impairments."
Stargardt disease,"Stargardt disease  is the most common inherited single-gene retinal disease. In terms of the first description of the disease, it follows an autosomal recessive inheritance pattern, which has been later linked to bi-allelic ABCA4 gene variants (STGD1). 
However, there are Stargardt-like diseases with mimicking phenotypes that are referred to as STGD3 and STGD4, and have a autosomal dominant inheritance due to defects with ELOVL4 or PROM1 genes, respectively."
Tuberous sclerosis,"Tuberous sclerosis complex (TSC) is a rare multisystem autosomal dominant genetic disease that causes non-cancerous tumours to grow in the brain and on other vital organs such as the kidneys, heart, liver, eyes, lungs and skin. A combination of symptoms may include seizures, intellectual disability, developmental delay, behavioral problems, skin abnormalities, lung disease, and kidney disease.
TSC is caused by a mutation of either of two genes, TSC1 and TSC2, which code for the proteins hamartin and tuberin, respectively, with TSC2 mutations accounting for the majority and tending to cause more severe symptoms."
Ullrich congenital muscular dystrophy,"Congenital muscular dystrophies are autosomal recessively-inherited muscle diseases. They are a group of heterogeneous disorders characterized by muscle weakness which is present at birth and the different changes on muscle biopsy that ranges from myopathic to overtly dystrophic due to the age at which the biopsy takes place.


== Signs and symptoms ==

Most infants with CMD will display some progressive muscle weakness or muscle wasting (atrophy), although there can be different degrees and symptoms of severeness of progression."
Vanishing white matter disease,"Leukoencephalopathy with vanishing white matter (VWM disease) is an autosomal recessive neurological disease. The cause of the disease are mutations in any of the 5 genes encoding subunits of the translation initiation factor eIF2B: EIF2B1, EIF2B2, EIF2B3, EIF2B4, or EIF2B5.  The disease belongs to a family of conditions called the Leukodystrophies."
X-linked adrenoleukodystrophy,"Adrenoleukodystrophy (ALD) is a disease linked to the X chromosome. It is a result of fatty acid buildup caused by failure of peroxisomal fatty acid beta oxidation which results in the accumulation of very long chain fatty acids in tissues throughout the body.  The most severely affected tissues are the myelin in the central nervous system, the adrenal cortex, and the Leydig cells in the testes."
Xeroderma pigmentosum,"Xeroderma pigmentosum (XP) is a genetic disorder in which there is a decreased ability to repair DNA damage such as that caused by ultraviolet (UV) light. Symptoms may include a severe sunburn after only a few minutes in the sun, freckling in sun-exposed areas, dry skin and changes in skin pigmentation. Nervous system problems, such as hearing loss, poor coordination, loss of intellectual function and seizures, may also occur."
Yunis–Varon syndrome,"Yunis–Varon syndrome (YVS), also called cleidocranial dysplasia with micrognathia or absent thumbs and distal aphalangia, is an extremely rare autosomal recessive multisystem congenital disorder which affects the skeletal system, ectodermal tissue, heart and respiratory system. It was first described by Emilio Yunis and Humberto Váron from the National University of Colombia.


== Signs and symptoms ==


== Genetics ==
This syndrome is inherited in an autosomal recessive manner."
Zellweger spectrum disorder,"Zellweger syndrome is a rare congenital disorder characterized by the reduction or absence of functional peroxisomes in the cells of an individual. It is one of a family of disorders called Zellweger spectrum disorders which are leukodystrophies. Zellweger syndrome is named after Hans Zellweger (1909–1990), a Swiss-American pediatrician, a professor of pediatrics and genetics at the University of Iowa who researched this disorder."
Congenital central hypoventilation syndrome,"Central hypoventilation syndrome (CHS) is a sleep-related breathing disorder that causes ineffective breathing, apnea, or respiratory arrest during sleep (and during wakefulness in severe cases). CHS can either be congenital (CCHS) or acquired (ACHS) later in life. The condition can be fatal if untreated."
Caroli disease,"Caroli disease (communicating cavernous ectasia, or congenital cystic dilatation of the intrahepatic biliary tree) is a rare inherited disorder characterized by cystic dilatation (or ectasia) of the bile ducts within the liver. There are two patterns of Caroli disease: focal or simple Caroli disease consists of abnormally widened bile ducts affecting an isolated portion of liver. The second form is more diffuse, and when associated with portal hypertension and congenital hepatic fibrosis, is often referred to as ""Caroli syndrome""."
CHARGE syndrome,"CHARGE syndrome (formerly known as CHARGE association) is a rare syndrome caused by a genetic disorder. First described in 1979, the acronym ""CHARGE"" came into use for newborn children with the congenital features of coloboma of the eye, heart defects, atresia of the nasal choanae, restricted growth or development, genital or urinary abnormalities, and ear abnormalities and deafness. These features are no longer used in making a diagnosis of CHARGE syndrome, but the name remains."
Cornelia de Lange syndrome,"Cornelia de Lange syndrome (CdLS) is a genetic disorder. People with Cornelia de Lange syndrome experience a range of physical, cognitive, and medical challenges ranging from mild to severe. Cornelia de Lange syndrome has a widely varied phenotype, meaning people with the syndrome have varied features and challenges."
Ehlers–Danlos syndrome,"Ehlers–Danlos syndromes (EDS) are a group of 14 genetic connective tissue disorders. Symptoms often include loose joints, joint pain, stretchy, velvety skin, and abnormal scar formation. These may be noticed at birth or in early childhood."
Familial adenomatous polyposis,"Familial adenomatous polyposis (FAP) is an autosomal dominant inherited condition in which numerous adenomatous polyps form mainly in the epithelium of the large intestine. While these polyps start out benign, malignant transformation into colon cancer occurs when they are left untreated. Three variants are known to exist, FAP and attenuated FAP (originally called hereditary flat adenoma syndrome) are caused by APC gene defects on chromosome 5 while autosomal recessive FAP (or MUTYH-associated polyposis) is caused by defects in the MUTYH gene on chromosome 1."
Friedreich's ataxia,"Friedreich's ataxia (FRDA) is a rare, inherited, autosomal recessive neurodegenerative disorder that primarily affects the nervous system, causing progressive damage to the spinal cord, peripheral nerves, and cerebellum, leading to impaired muscle coordination (ataxia). The condition typically manifests in childhood or adolescence, with initial symptoms including difficulty walking, loss of balance, and poor coordination. As the disease progresses, it can also impact speech, vision, and hearing."
Glutaric acidemia type I,"Glutaric acidemia type 1 (GA1) is an inherited disorder in which the body is unable to completely break down the amino acids lysine, hydroxylysine and tryptophan. Excessive levels of their intermediate breakdown products (glutaric acid, glutaryl-CoA, 3-hydroxyglutaric acid, glutaconic acid) can accumulate and cause damage to the brain (and also other organs), but particularly the basal ganglia, which are regions that help regulate movement. GA1 causes secondary carnitine deficiency, as glutaric acid, like other organic acids, is detoxified by carnitine."
Hallermann–Streiff syndrome,"Hallermann–Streiff syndrome is a congenital disorder that affects the eyes, general growth, cranial development, hair-growth, and dental development. There are fewer than 200 people with the syndrome worldwide. One notable organization that is supporting people with Hallermann–Streiff syndrome is the Germany-based ""Schattenkinder e.V""."
Hypophosphatasia,"Hypophosphatasia (; also called deficiency of alkaline phosphatase, phosphoethanolaminuria, or Rathbun's syndrome; sometimes abbreviated HPP) is a rare, and sometimes fatal, inherited metabolic bone disease. Clinical symptoms are heterogeneous, ranging from the rapidly fatal, perinatal variant, with profound skeletal hypomineralization, respiratory compromise or vitamin B6 dependent seizures to a milder, progressive osteomalacia later in life. Tissue non-specific alkaline phosphatase (TNSALP) deficiency in osteoblasts and chondrocytes impairs bone mineralization, leading to rickets or osteomalacia."
Incontinentia pigmenti,"Incontinentia pigmenti (IP) is a rare X-linked dominant genetic disorder that affects the skin, hair, teeth, nails and central nervous system. It is named from its appearance under a microscope.
The disease is characterized by skin abnormalities that begin in childhood, usually a blistering rash which heals, followed by the development of harder skin growths."
Kallmann syndrome,"Kallmann syndrome (KS) is a genetic disorder that prevents a person from starting or fully completing puberty. Kallmann syndrome is a form of a group of conditions termed hypogonadotropic hypogonadism. To distinguish it from other forms of hypogonadotropic hypogonadism, Kallmann syndrome has the additional symptom of a total lack of sense of smell (anosmia) or a reduced sense of smell."
Kearns–Sayre syndrome,"Kearns–Sayre syndrome (KSS), oculocraniosomatic disorder or oculocranionsomatic neuromuscular disorder with ragged red fibers is a mitochondrial myopathy with a typical onset before 20 years of age. KSS is a more severe syndromic variant of chronic progressive external ophthalmoplegia (abbreviated CPEO), a syndrome that is characterized by isolated involvement of the muscles controlling movement of the eyelid (levator palpebrae, orbicularis oculi) and eye (extra-ocular muscles). This results in ptosis and ophthalmoplegia respectively."
Langerhans cell histiocytosis,"Langerhans cell histiocytosis (LCH) is an abnormal clonal proliferation of Langerhans cells, abnormal cells deriving from bone marrow and capable of migrating from skin to lymph nodes.
Symptoms range from isolated bone lesions to multisystem disease. LCH is part of a group of syndromes called histiocytoses, which are characterized by an abnormal proliferation of histiocytes (an archaic term for activated dendritic cells and macrophages)."
Lissencephaly,"Lissencephaly (, meaning 'smooth brain') is a set of rare brain disorders whereby the whole or parts of the surface of the brain are smooth. It is caused by defective neuronal migration during the 12th to 24th weeks of gestation, resulting in a lack of development of brain folds (gyri) and grooves (sulci). It is a form of cephalic disorder."
Mastocytosis,"Mastocytosis, a type of mast cell disease, is a rare disorder affecting both children and adults caused by the accumulation of functionally defective mast cells (also called mastocytes) and CD34+ mast cell precursors.
People affected by mastocytosis are susceptible to a variety of symptoms, including itching, hives, and anaphylactic shock, caused by the release of histamine and other pro-inflammatory substances from mast cells.


== Signs and symptoms ==

When mast cells undergo degranulation, the substances that are released can cause a number of symptoms that can vary over time and can range in intensity from mild to severe."
Neurofibromatosis type I,"Neurofibromatosis type I (NF-1), or von Recklinghausen syndrome, is a complex multi-system neurocutaneous disorder caused by a subset of genetic mutations at the neurofibromin 1 (NF1) locus. Other conditions associated with mutation of the NF1 gene include Watson syndrome. NF-1 is a gene on chromosome 17 that is responsible for production of a protein (neurofibromin) which is needed for normal function in many human cell types."
Neurofibromatosis type II,"Neurofibromatosis type II (also known as MISME syndrome – multiple inherited schwannomas, meningiomas, and ependymomas) is a genetic condition that may be inherited or may arise spontaneously, and causes benign tumors of the brain, spinal cord, and peripheral nerves. The types of tumors frequently associated with NF2 include vestibular schwannomas, meningiomas, and ependymomas. The main manifestation of the condition is the development of bilateral benign brain tumors in the nerve sheath of the cranial nerve VIII, which is the ""auditory-vestibular nerve"" that transmits sensory information from the inner ear to the brain."
Noonan syndrome,"Noonan syndrome (NS) is a genetic disorder that may present with mildly unusual facial features, short height, congenital heart disease, bleeding problems, and skeletal malformations. Facial features include widely spaced eyes, light-colored eyes, low-set ears, a short neck, and a small lower jaw. Heart problems may include pulmonary valve stenosis."
Osteogenesis imperfecta,"Osteogenesis imperfecta (IPA: ; OI), colloquially known as brittle bone disease, is a group of genetic disorders that all result in bones that break easily.: 85  The range of symptoms—on the skeleton as well as on the body's other organs—may be mild to severe.: 1512  Symptoms found in various types of OI include whites of the eye (sclerae) that are blue instead, short stature, loose joints, hearing loss, breathing problems and problems with the teeth (dentinogenesis imperfecta). Potentially life-threatening complications, all of which become more common in more severe OI, include: tearing (dissection) of the major arteries, such as the aorta;: 333  pulmonary valve insufficiency secondary to distortion of the ribcage;: 335–341  and basilar invagination.: 106–107 
The underlying mechanism is usually a problem with connective tissue due to a lack of, or poorly formed, type I collagen.: 1513  In more than 90% of cases, OI occurs due to mutations in the COL1A1 or COL1A2 genes. These mutations may be hereditary in an autosomal dominant manner but may also occur spontaneously (de novo)."
Paroxysmal nocturnal hemoglobinuria,"Paroxysmal nocturnal hemoglobinuria (PNH) is a rare, acquired, life-threatening disease of the blood characterized by destruction of red blood cells by the complement system, a part of the body's innate immune system. This destructive process occurs due to deficiency of the red blood cell surface protein DAF, which normally inhibits such immune reactions. Since the complement cascade attacks the red blood cells within the blood vessels of the circulatory system, the red blood cell destruction (hemolysis) is considered an intravascular hemolytic anemia."
Parry–Romberg syndrome,"Parry–Romberg syndrome (PRS)  is a rare disease presenting in early childhood characterized by progressive shrinkage and degeneration of the tissues beneath the skin, usually on only one side of the face (hemifacial atrophy) but occasionally extending to other parts of the body. An autoimmune mechanism is suspected, and the syndrome may be a variant of localized scleroderma, but the precise cause and pathogenesis of this acquired disorder remains unknown. It has been reported in the literature as a possible consequence of sympathectomy."
Progressive supranuclear palsy,"Progressive supranuclear palsy (PSP) is a late-onset neurodegenerative disease involving the gradual deterioration and death of specific volumes of the brain, linked to 4-repeat tau pathology. The condition leads to symptoms including loss of balance, slowing of movement, difficulty moving the eyes, and cognitive impairment.  PSP may be mistaken for other types of neurodegeneration such as Parkinson's disease, frontotemporal dementia and Alzheimer's disease."
Pulmonary alveolar proteinosis,"Pulmonary alveolar proteinosis (PAP) is a rare lung disorder characterized by an abnormal accumulation of surfactant-derived lipoprotein compounds within the alveoli of the lung. The accumulated substances interfere with the normal gas exchange and expansion of the lungs, ultimately leading to difficulty breathing and a predisposition to developing lung infections. The causes of PAP may be grouped into primary (autoimmune PAP, hereditary PAP), secondary (multiple diseases), and congenital (multiple diseases, usually genetic) causes, although the most common cause is a primary autoimmune condition in an individual."
Rasmussen's encephalitis,"Rasmussen syndrome, also known as Rasmussen's encephalitis, is a rare progressive autoimmune neurological disease. It is characterized by frequent and severe focal seizures, progressive neurological decline, hemiparesis (weakness on one side of the body), encephalitis, and unilateral cerebral atrophy. The disease primarily affects children under the age of 15, though adult cases have been reported."
Russell–Silver syndrome,"Silver–Russell syndrome, also called Silver–Russell dwarfism, is a rare congenital growth disorder. In the United States it is usually referred to as Russell–Silver syndrome, and Silver–Russell syndrome elsewhere. It is one of 200 types of dwarfism and one of five types of primordial dwarfism."
Schinzel–Giedion syndrome,"Schinzel–Giedion syndrome (SGS) is a congenital neurodegenerative terminal syndrome. It was first described in 1978 by Albert Schinzel (1944–) and Andreas Giedion (1925–) as a syndrome with severe midface retraction, skull anomalies, renal anomalies (hydronephrosis) and other anomalies. Children with Schinzel–Giedion syndrome have characteristic facial features, neurological problems, severe developmental delay, often bone and organ abnormalities."
Seckel syndrome,"Seckel syndrome, or microcephalic primordial dwarfism (also known as bird-headed dwarfism, Harper's syndrome, Virchow–Seckel dwarfism and bird-headed dwarf of Seckel) is an extremely rare congenital nanosomic disorder. Inheritance is autosomal recessive. It is characterized by intrauterine growth restriction and postnatal dwarfism with a small head, narrow bird-like face with a beak-like nose, large eyes with down-slanting palpebral fissures, receding mandible and intellectual disability."
Shprintzen–Goldberg syndrome,"Shprintzen–Goldberg syndrome is a congenital multiple-anomaly syndrome that has craniosynostosis, multiple abdominal hernias, cognitive impairment, and other skeletal malformations as key features. Several reports have linked the syndrome to a mutation in the FBN1 gene, but these cases do not resemble those initially described in the medical literature in 1982 by Shprintzen and Goldberg, and Greally et al. in 1998 failed to find a causal link to FBN1."
Sjögren–Larsson syndrome,"Sjögren–Larsson syndrome is a rare autosomal recessive form of ichthyosis with neurological symptoms.: 485 : 564  It can be identified by a triad of medical disorders. The first is ichthyosis, which is a buildup of skin to form a scale-like covering that causes dry skin and other problems. The second identifier is paraplegia which is characterized by leg spasms."
Spinal and bulbar muscular atrophy,"Spinal and bulbar muscular atrophy (SBMA), popularly known as Kennedy's disease, is a rare, adult-onset, X-linked recessive lower motor neuron disease caused by trinucleotide CAG repeat expansions in exon 1 of the androgen receptor (AR) gene, which results in both loss of AR function and toxic gain of function.
In men, the disease slowly progresses over decades with bulbar and lower motor neuron loss, muscle denervation, and direct skeletal muscle involvement.  The disease causes progressive muscle loss with weakness, fasciculations, and cramps."
Spinocerebellar ataxia,"Spinocerebellar ataxia (SCA) is a progressive, degenerative, genetic disease with multiple types, each of which could be considered a neurological condition in its own right. An estimated 150,000 people in the United States have a diagnosis of spinocerebellar ataxia at any given time. SCA is hereditary, progressive, degenerative, and often fatal."
Stiff person syndrome,"Stiff-person syndrome (SPS), also known as stiff-man syndrome, is a rare neurological disorder of unclear cause characterized by progressive muscular rigidity and stiffness. The stiffness primarily affects the truncal muscles and is characterised by spasms, resulting in postural deformities. Chronic pain, impaired mobility, and lumbar hyperlordosis are common symptoms."
Sweet syndrome,"Sweet syndrome (SS), or acute febrile neutrophilic dermatosis, is a skin disease characterized by the sudden onset of fever, an elevated white blood cell count, and tender, red, well-demarcated papules and plaques that show dense infiltrates by neutrophil granulocytes on histologic examination.
The syndrome was first described in 1964 by Robert Douglas Sweet.  It was also known as Gomm–Button disease in honour of the first two patients Sweet diagnosed with the condition."
Thalassemia major,"Beta-thalassemia (β-thalassemia) is an inherited blood disorder, a form of thalassemia resulting in variable outcomes ranging from clinically asymptomatic to severe anemia individuals. It is caused by reduced or absent synthesis of the beta chains of hemoglobin, the molecule that carries oxygen in the blood. Symptoms depend on the extent to which hemoglobin is deficient, and include anemia, pallor, tiredness, enlargement of the spleen, jaundice, and gallstones."
Trisomy 13,"Patau syndrome is a syndrome caused by a chromosomal abnormality, in which some or all of the cells of the body contain extra genetic material from chromosome 13. The extra genetic material disrupts normal development, causing multiple and complex organ defects.
This can occur either because each cell contains a full extra copy of chromosome 13 (a disorder known as trisomy 13 or trisomy D or T13), or because each cell contains an extra partial copy of the chromosome, or because there are two different lines of cells—one healthy with the correct number of chromosomes 13 and one that contains an extra copy of the chromosome—mosaic Patau syndrome."
